,,,,,,All mature & old growth,,,Most likely habitat,,,Highest realistic densities,,
study_area,station_burger,station_popov,n_years_surveyed,mamu_count,watershed_area_ha,habitat_measure_a,habitat_ha_a,density_a,habitat_measure_b,habitat_ha_b,density_b,habitat_measure_c,habitat_ha_c,density_c
Central Coast,Kwatna,Kwatna,1,392,37758,5,14878,0.026,4,6853,0.057,6,5955,0.066
North Coast,Kwinamass_River **,Kwinamass River,1,44,33345,1,14236,0.003,7,11396,0.004,4,6598,0.007
NW Vancouver Island,Leiner,,2,294,10504,1,6594,0.045,2,2877,0.102,2,2877,0.102
North Coast,Leverson_Creek_A,,1,110,9012,1,4451,0.025,7,2600,0.042,4,766,0.144
NW Vancouver Island,Little Zeballos,,1,85,4325,1,2391,0.036,2,556,0.153,2,556,0.153
NW Vancouver Island,Malskope **,,2,220,3526,1,1996,0.11,2,1251,0.176,2,1251,0.176
North Coast,McIsaac_River,,1,43,3508,1,1468,0.029,7,1096,0.039,4,689,0.062
Sunshine Coast,McNab (Howe area),,2,7,6874,1,1476,0.005,3,478,0.015,3,478,0.015
North Coast,McShane_Creek,,1,23,3573,1,1064,0.022,7,860,0.027,4,439,0.052
Clayoquot Sound,Megin (West Megin only),Megin,3,430,10745,1,10321,0.042,2,8189,0.053,2,8189,0.053
Clayoquot Sound,Moyeha,Moyeha,3,596,17930,1,12935,0.046,2,5365,0.111,2,5365,0.111
Central Coast,Namu **,,1,90,6835,5,251,0.359,4,4310,0.021,6,251,0.359
NW Vancouver Island,Nasparti,Nasparti,2,177,5890,1,5472,0.032,2,5085,0.035,2,5085,0.035
Central Coast,Nekite,Nekite,1,55,41000,5,15307,0.004,4,6557,0.008,6,6332,0.009
NW Vancouver Island,Nuchalitz,,1,314,4707,1,2986,0.105,2,2739,0.115,2,2739,0.115
Sunshine Coast,Orford (Bute area),Orford,2,171,42489,1,7157,0.024,3,4796,0.036,3,4796,0.036
